"Region","Country","SiteID","National Name","International Name","Final Code","Area","Latitude","Longitude","Criteria"
"Africa","South Africa ","7096","Spitskop Dam ","Spitskop Dam","ZA021","2495","-28.066666666667","24.55","A1, A4i"
"Africa","South Africa ","7087","Steenkampsberg ","Steenkampsberg","ZA012","100000","-25.35","30.066666666667","A1, A2, A3, A4i, A4ii"
"Africa","South Africa ","7110","Sterkfontein Dam Nature Reserve ","Sterkfontein Dam Nature Reserve","ZA035","17770","-28.45","29.016666666699997","A1, A2, A3"
"Africa","South Africa ","7160","Swartberg mountains ","Swartberg mountains","ZA085","500000","-33.3333333333","22.066666666699998","A1, A2, A3"
"Africa","South Africa ","7150","Swartkops Estuary - Redhouse and Chatty Saltpans ","Swartkops Estuary - Redhouse and Chatty Saltpans","ZA075","926","-33.85","25.583333333333","A1, A4i, A4iii"
"Africa","South Africa ","7152","Tsitsikama - Plettenberg Bay ","Tsitsikama - Plettenberg Bay","ZA077","24000","-34.2","23.916666666667","A1, A2, A3"
"Africa","South Africa ","7131","Umgeni Vlei Nature Reserve ","Umgeni Vlei Nature Reserve","ZA056","957","-29.4833333333","29.833333333299997","A1"
"Africa","South Africa ","7122","Umlalazi Nature Reserve ","Umlalazi Nature Reserve","ZA047","1318","-28.966666666699997","31.7833333333","A1, A3"
"Africa","South Africa ","7140","Umtamvuna Nature Reserve ","Umtamvuna Nature Reserve","ZA065","3257","-31","30.166666666699996","A1, A2, A3, A4ii"
"Africa","South Africa ","7127","Umvoti Vlei ","Umvoti Vlei","ZA052","2800","-29.15","30.566666666699998","A1"
"Africa","South Africa ","44661","Upper Orange River ","Upper Orange River","","0","-30.588","25.873",""
"Africa","South Africa ","7157","Verlorenvlei Estuary ","Verlorenvlei Estuary","ZA082","1700","-32.383333333333","18.466666666667","A4i"
"Africa","South Africa ","7081","Waterberg System ","Waterberg System","ZA006","375000","-24.2833333333","28.083333333299997","A1, A4ii"
"Africa","South Africa ","7159","West Coast National Park and Saldanha Bay islands ","West Coast National Park and Saldanha Bay islands","ZA084","27600","-33.15","18.083333333299997","A1, A4i, A4ii, A4iii"
"Africa","South Africa ","7168","Wilderness - Sedgefield Lakes Complex ","Wilderness - Sedgefield Lakes Complex","ZA093","12250","-34","22.733333333333","A2, A3, A4i, A4iii"
"Africa","South Africa ","7079","Wolkberg Forest Belt ","Wolkberg Forest Belt","ZA004","65000","-23.9","30.0333333333","A1, A2, A3"
"Africa","South Africa ","7148","Woody Cape Section: Addo Elephant National Park ","Woody Cape Section: Addo Elephant National Park","ZA073","15460","-33.7","26.266666666667","A1, A2, A3"
